Solution,RMSE,C1,C2
"[0.67704713 0.96849297 0.53247706 0.85418341 0.02263098 0.57622015
 0.02650795 0.85890637 0.1134725  0.44371171 0.94964982 0.42010743
 0.0734024  0.42132737 0.49259276 0.52878343 0.04582073 0.17892332
 0.58497471 0.81124726 0.14524116 0.13383587]",0.03584644177211498,0.0025928709415589807,-0.009101921256467279
"[0.56721958 0.84495659 0.429135   0.7913115  0.1636198  0.56194892
 0.29462239 0.88653003 0.22320641 0.45775411 0.91545127 0.24875077
 0.07690908 0.2074768  0.45947252 0.46973837 0.19412779 0.11461688
 0.54515885 0.70613303 0.17786744 0.18267849]",0.03635898684857939,0.0031456577616998833,-0.004907698687832406
"[0.55070384 0.83018972 0.45888938 0.85245391 0.15218108 0.62023805
 0.19697881 0.90721183 0.22795792 0.40285057 0.9642738  0.31039021
 0.03652534 0.28260646 0.49613235 0.46782574 0.11511338 0.16216395
 0.59500324 0.70912725 0.16117842 0.19887114]",0.036359950957583036,0.0027972964258277735,-0.005673759339262854
"[0.5839793  0.81670587 0.4324105  0.80950817 0.15101035 0.57553742
 0.26143984 0.87176145 0.22964261 0.46085867 0.90236631 0.25948161
 0.06611273 0.20686811 0.44053115 0.48776895 0.18407723 0.13924841
 0.52867373 0.71639068 0.1902327  0.19704248]",0.03654774811916263,0.0028539654597327935,-0.004613732943555202
"[0.56820837 0.88595761 0.38301975 0.85418341 0.1629963  0.52944705
 0.15868864 0.90002207 0.29670541 0.37651186 0.94569394 0.22575115
 0.06753754 0.21127591 0.51606401 0.53991599 0.07639022 0.16216395
 0.58497471 0.62696674 0.06402173 0.22998589]",0.03661834016310135,0.0027962922425848642,-0.0050483015812079046
"[0.62022843 0.83548871 0.42656093 0.76495392 0.15883057 0.62023805
 0.16257644 0.90687813 0.26000174 0.44371171 0.96002194 0.34021616
 0.16377857 0.14690789 0.42752161 0.40011837 0.26106321 0.21576866
 0.56282343 0.68685232 0.07758209 0.29317151]",0.036687133359045776,0.0020866520344696056,-0.0061895384883448295
"[0.5740252  0.82240349 0.41149125 0.80810962 0.1584641  0.5749818
 0.27536371 0.87449375 0.21684161 0.45917615 0.90551491 0.26533655
 0.05873983 0.20570662 0.45183124 0.48725375 0.16953275 0.14393114
 0.53083729 0.7317274  0.18036692 0.20129029]",0.0367242340962144,0.003331985455776558,-0.004429419298237676
"[0.52274335 0.87839507 0.40774293 0.88434867 0.12643505 0.6239773
 0.22777926 0.90834641 0.16250761 0.44371171 0.98346595 0.30762847
 0.09638996 0.2658663  0.43888963 0.49047283 0.16552843 0.1849284
 0.55631921 0.72561133 0.20489666 0.1696051 ]",0.03678313771501493,1.48,1.48
"[0.57627107 0.82466556 0.41355387 0.81273063 0.1737493  0.57485722
 0.2576437  0.87505537 0.23964798 0.44929077 0.90823463 0.26476498
 0.06237438 0.19512716 0.44553837 0.49197837 0.16264283 0.15371068
 0.51871898 0.71818575 0.18407974 0.20802028]",0.036852242807656095,0.002730646416156477,1.48
"[0.59520761 0.85082156 0.4215267  0.82684318 0.17265413 0.60789706
 0.24816696 0.86437333 0.23536123 0.45949913 0.9281033  0.24917895
 0.05548991 0.20863392 0.43652713 0.47965961 0.16441501 0.15806557
 0.5273418  0.69212498 0.20610106 0.16555922]",0.0373231340700208,0.0036297161754900616,-0.003757816904430524
"[0.57463615 0.82529581 0.41281116 0.8195181  0.17522106 0.57755694
 0.25341596 0.87807772 0.23750422 0.45461291 0.90964598 0.25918176
 0.06208027 0.19786181 0.45071648 0.48655598 0.16836328 0.15025427
 0.52423425 0.72088128 0.1815447  0.20877142]",0.03738171419429763,1.48,-0.004109540483489261
"[0.58951099 0.82651373 0.41264254 0.81709986 0.15232579 0.56747311
 0.26857196 0.86338702 0.21110204 0.45917615 0.9219383  0.27343228
 0.05786634 0.20291648 0.44379056 0.4901579  0.18426876 0.14317027
 0.52708398 0.71171798 0.18783039 0.19223827]",0.03745040919007088,1.48,-0.004316675234412731
"[0.57361323 0.82466556 0.41585115 0.81497064 0.16316515 0.58362782
 0.2541764  0.87157064 0.24261072 0.45531611 0.91126451 0.26528761
 0.06122649 0.20114389 0.45058991 0.49639772 0.1584624  0.1588498
 0.52366947 0.71842436 0.18915556 0.21210822]",0.03750131008698885,1.48,1.48
"[0.54923215 0.81555358 0.45843431 0.78729347 0.24835904 0.58520379
 0.23502685 0.93225376 0.21892276 0.423785   0.97846384 0.30276378
 0.1335286  0.29210485 0.53680931 0.48701191 0.12612001 0.18526333
 0.60181237 0.72240625 0.21189227 0.25677512]",0.0376721724408998,0.00048481572955993285,-0.008185659183832433
"[0.57526443 0.82379337 0.41691106 0.81771941 0.17353709 0.57344947
 0.25551563 0.87069841 0.23678921 0.46140628 0.90691748 0.25989664
 0.06186666 0.20284128 0.44740729 0.4948189  0.16937677 0.15438843
 0.5203759  0.7187725  0.18605768 0.209144  ]",0.03774668130734745,0.0016537380191740947,-0.004264661215132269
"[0.46662368 0.94481197 0.39398018 0.792658   0.20501131 0.67643838
 0.22088514 0.76360534 0.1372296  0.44371171 0.91231721 0.36817335
 0.1236736  0.22411519 0.57266091 0.56566477 0.16438267 0.08848104
 0.56164572 0.59212058 0.15427863 0.26318048]",0.03780091948728509,0.0007369658674969831,-0.006647150148691832
"[0.59614873 0.82749003 0.41331754 0.8139108  0.16187436 0.58485465
 0.27172557 0.86450697 0.21434815 0.45111361 0.9204768  0.27526043
 0.06834541 0.21094693 0.45353487 0.49503678 0.17704029 0.1412864
 0.53621553 0.72445867 0.18657559 0.19182454]",0.03785723016240398,0.0013844783902515444,-0.004718292227732479
"[0.58104725 0.8233639  0.4181262  0.80930496 0.1676168  0.57783623
 0.25683232 0.87659929 0.22935986 0.45319106 0.90753829 0.26538453
 0.06738772 0.20029534 0.45243293 0.48215012 0.15699899 0.14968942
 0.51366723 0.72073202 0.17749712 0.21343777]",0.03789607694497127,1.48,-0.0043221756079381
"[0.57362168 0.82651373 0.42044129 0.80442204 0.1520639  0.5693772
 0.26827859 0.87950493 0.23459135 0.46975753 0.90737268 0.26267208
 0.06424276 0.21204996 0.44211885 0.49347728 0.16797474 0.14687663
 0.51818335 0.73054269 0.18364919 0.21169363]",0.0380173834451309,0.0012725769536537715,-0.004685504977514887
"[0.60293714 0.83519793 0.42266537 0.81053007 0.13600501 0.58828687
 0.27990147 0.87147547 0.23959628 0.49160338 0.92129268 0.26705038
 0.05716025 0.2112642  0.43530292 0.50562366 0.17226592 0.14166915
 0.54872096 0.73104162 0.20551088 0.17382533]",0.038039252492394524,0.001474160339161413,-0.004048280691292646
"[0.57950812 0.82628615 0.41281879 0.80281948 0.16500141 0.58229667
 0.26863646 0.88366597 0.21464789 0.46615795 0.92239563 0.26210507
 0.05980442 0.19339011 0.45277936 0.48846779 0.1640285  0.1335657
 0.51625097 0.71201765 0.18575981 0.21337792]",0.03817417710913479,0.0014157349674608147,1.48
"[0.57764576 0.82631189 0.42527145 0.81238675 0.17002584 0.57249982
 0.25658236 0.88121662 0.22787254 0.46444013 0.9064184  0.26304274
 0.0636112  0.20086443 0.44841232 0.48706835 0.15770168 0.14456778
 0.51103001 0.71818575 0.18360771 0.20689071]",0.03819540550970514,1.48,-0.004102257953989039
"[0.58645178 0.81876944 0.41900496 0.81454292 0.15586411 0.56980672
 0.27376384 0.88385726 0.22320641 0.45324446 0.90509286 0.27758851
 0.06886432 0.1968441  0.44121277 0.49423319 0.18227052 0.14014096
 0.5243975  0.72521539 0.16747487 0.19833943]",0.038325413178532594,0.0010240301199113643,-0.0044837169393713745
"[0.57739353 0.82304628 0.41486719 0.81796015 0.17008479 0.58012117
 0.25624403 0.87276971 0.24210773 0.45497282 0.90470538 0.26242683
 0.0629425  0.20063691 0.44208195 0.49171302 0.166177   0.16032949
 0.51522522 0.71658991 0.18368737 0.21210388]",0.03837579258845348,1.48,1.48
"[0.57614054 0.82214576 0.41812382 0.81755434 0.17230333 0.57770642
 0.25564568 0.87292535 0.24104885 0.45313438 0.90947447 0.25790472
 0.06350452 0.19672611 0.44352506 0.49125997 0.16316279 0.15996401
 0.5192187  0.71709585 0.18025521 0.21300807]",0.03861064653222606,0.0008369459532181212,-0.004088433452335689
"[0.57284143 0.82148201 0.41240016 0.82383568 0.16970238 0.57499725
 0.25439579 0.87784483 0.23893596 0.45279799 0.90601575 0.2573356
 0.06404516 0.19149948 0.44641716 0.48965051 0.16392355 0.14889827
 0.51348697 0.72016744 0.18528704 0.21406433]",0.038748403793913984,0.0007318149515833476,-0.003996014940541068
"[0.55922518 0.78026301 0.47485371 0.85418341 0.12156514 0.56751328
 0.23180507 0.91587873 0.19837359 0.44371171 0.94832613 0.24220554
 0.00965885 0.27041477 0.39640607 0.47371907 0.22228052 0.19259324
 0.58901905 0.75729776 0.2287117  0.20034996]",0.038880227034849876,0.00023965417374484377,-0.0050584824110238655
"[0.57741545 0.82406995 0.41445958 0.81963566 0.16936318 0.57750938
 0.25859675 0.87677296 0.23879732 0.45539333 0.90928793 0.26126507
 0.06246702 0.19981158 0.44641716 0.49441823 0.16051837 0.15721735
 0.51952425 0.71902832 0.18734652 0.21130174]",0.039002504384199596,0.00044435204047193685,-0.0041185085956608886
"[0.57809372 0.82527807 0.41281941 0.81891038 0.16936318 0.5777036
 0.25716483 0.87312635 0.2353175  0.45523027 0.90409978 0.26204117
 0.05972935 0.19819275 0.44641716 0.49197837 0.16163014 0.15641043
 0.51819157 0.7156658  0.18142754 0.21280386]",0.039017473803280925,1.48,1.48
"[0.58711393 0.81696637 0.4132466  0.82533596 0.15970924 0.5749818
 0.28355874 0.8668411  0.23440714 0.45531278 0.9248807  0.26533655
 0.06895196 0.20549542 0.44630686 0.4777859  0.16638035 0.14511533
 0.52205694 0.72966182 0.18773104 0.18964335]",0.03909042049188314,1.48,-0.004646692826291408
"[0.57505498 0.82352559 0.41380005 0.81843336 0.16675753 0.57791486
 0.25903327 0.87708979 0.23868926 0.45467473 0.90811581 0.26377418
 0.0588347  0.19896195 0.44716795 0.49197837 0.16352339 0.15616429
 0.51914282 0.72026503 0.1868213  0.21442585]",0.03911256830397303,0.00038183677340392075,-0.003999580785031855
"[0.58042394 0.81934983 0.42125464 0.81307677 0.16672164 0.58138436
 0.2525602  0.87512427 0.24066073 0.45207228 0.9047875  0.26609006
 0.06492799 0.19755654 0.44062735 0.4955987  0.15860047 0.15643274
 0.5145788  0.72200872 0.18752337 0.21946879]",0.039128788748075786,0.00033882053383853597,-0.004079195815248453
"[0.58187981 0.81929202 0.4159321  0.81657779 0.17080619 0.57901394
 0.2576437  0.87657137 0.23405777 0.44993383 0.90397983 0.25908155
 0.06428624 0.20049338 0.44370083 0.49405557 0.16921891 0.15438843
 0.51774418 0.72163688 0.18433387 0.21574394]",0.039139845088918664,1.48,-0.004244502408427421
"[0.58345658 0.83297512 0.41194675 0.82168313 0.16126039 0.56650983
 0.26579914 0.87843635 0.23347694 0.44772956 0.90268572 0.25773577
 0.06088444 0.20934197 0.45905943 0.49181702 0.17999166 0.14791494
 0.51980674 0.72637756 0.18154901 0.19919728]",0.0392510651793777,8.578821977196435e-05,1.48
"[0.57802288 0.82248278 0.41343492 0.81731948 0.17125587 0.57996881
 0.2576437  0.87501721 0.24003979 0.45653193 0.90972302 0.26407362
 0.05995111 0.19596579 0.44421276 0.49456353 0.16582723 0.15365577
 0.51693036 0.71930155 0.18427499 0.21633572]",0.03925663346834062,0.00027064255173085,-0.003901155274768961
"[0.57581063 0.82457192 0.41366381 0.82150391 0.16827489 0.58014874
 0.25868181 0.87505537 0.23474004 0.45683717 0.9039997  0.26126507
 0.06171738 0.19728522 0.44737457 0.49051247 0.16062212 0.15555437
 0.52125562 0.71688183 0.18471433 0.21212252]",0.03936546796194621,1.48,1.48
"[0.5789229  0.820331   0.41778121 0.82106755 0.17265205 0.5789731
 0.25692501 0.87648094 0.23978246 0.45619432 0.90463264 0.26289929
 0.0629425  0.19634917 0.4417777  0.49330006 0.16551349 0.15811164
 0.51508129 0.71741082 0.18153768 0.21253211]",0.039429082252468634,6.123569921957436e-05,-0.004024634956168057
"[0.57913075 0.8224699  0.4143332  0.81862177 0.17185091 0.57600847
 0.25917088 0.87157292 0.23983435 0.45599596 0.9057995  0.26012181
 0.05984984 0.19953741 0.44562961 0.49314611 0.16507269 0.15784491
 0.51658818 0.72264425 0.18013382 0.21425608]",0.03945570754831687,1.48,1.48
"[0.58583808 0.8297337  0.41496049 0.80803298 0.16529313 0.58134836
 0.26656946 0.88200043 0.23479929 0.46464998 0.90541438 0.26102131
 0.06185214 0.19706379 0.45041161 0.48428585 0.15741226 0.15476788
 0.51643314 0.71264045 0.17844638 0.21024062]",0.039541085584406534,3.290706735905105e-05,1.48
"[0.57891021 0.82304628 0.41691098 0.81862177 0.1701512  0.57772757
 0.25749941 0.87396063 0.23983435 0.45313438 0.90691748 0.26069773
 0.0629425  0.19915715 0.44478624 0.49125997 0.16606902 0.15743543
 0.51658818 0.71966923 0.18242409 0.21425608]",0.039568181936698005,-0.00010065458509074879,-0.004124768277895759
"[0.57912824 0.83556983 0.42260496 0.80962978 0.15358686 0.5856239
 0.27423289 0.88313515 0.23278728 0.45496997 0.91507369 0.2679292
 0.06424276 0.21003518 0.46222024 0.48220457 0.16248575 0.1306274
 0.52881344 0.71315229 0.18904797 0.1993853 ]",0.03957888847820028,-0.00014052988708772307,1.48
"[0.57809372 0.82466556 0.4159321  0.81877219 0.16936318 0.57908212
 0.2576437  0.87505537 0.23759891 0.45531611 0.90691748 0.26126507
 0.05995111 0.19755654 0.44641716 0.49197837 0.16332541 0.15438843
 0.51907969 0.71818575 0.18433387 0.21406433]",0.03967307838265743,-0.00012946434072267504,-0.003924098953194909
"[0.58143045 0.82085171 0.41868411 0.81680109 0.16870421 0.57998899
 0.25749941 0.87674894 0.23906231 0.45313438 0.90658591 0.26100756
 0.06503786 0.19860031 0.44478624 0.49288428 0.1687091  0.15823658
 0.51548719 0.71861552 0.18098884 0.21565877]",0.03969247816190881,-0.00023512546345150556,-0.004178709619239128
"[0.57857123 0.82595996 0.4211407  0.8147932  0.16499921 0.57451098
 0.25939154 0.88532142 0.23306488 0.45486787 0.90410463 0.25550034
 0.05999532 0.20105516 0.44894519 0.48688429 0.16159947 0.15228577
 0.52113646 0.71827181 0.17263712 0.21282765]",0.039725551556160275,-0.00019533088259932746,-0.004049879066769371
"[0.57722154 0.82681665 0.41501901 0.81805274 0.17194523 0.58133548
 0.25774206 0.87526989 0.23721758 0.45411053 0.90455958 0.26126507
 0.06249288 0.19737396 0.44356517 0.49369079 0.16532591 0.15284889
 0.52177404 0.71564663 0.18467641 0.21483486]",0.039729385203716876,-0.00020716763809669816,-0.0039845221960863215
"[0.58104725 0.82651373 0.4211407  0.81391877 0.1676168  0.57660479
 0.26198357 0.87907468 0.23158786 0.45890561 0.90691748 0.26102131
 0.06388978 0.19537349 0.4526281  0.48829073 0.1620814  0.14968942
 0.51530166 0.71818575 0.17826832 0.20977228]",0.03974725192460458,-0.000193209444227245,-0.003942175586780641
"[0.57595906 0.82138655 0.42268353 0.82320481 0.15535335 0.57862077
 0.27170034 0.88551732 0.21596887 0.44998935 0.91770758 0.25366227
 0.07437673 0.20298922 0.44835163 0.4899356  0.17624588 0.13621543
 0.5177768  0.71986302 0.18551749 0.20088138]",0.03977164927003138,1.48,-0.004766553011386456
"[0.58306515 0.83042354 0.4211407  0.8130199  0.16732221 0.57475298
 0.26025626 0.88045308 0.23037368 0.4584951  0.9109189  0.26697361
 0.06683505 0.19771054 0.45166424 0.49207674 0.16505043 0.14968942
 0.51530166 0.71378057 0.17463635 0.20923949]",0.039836530627300866,-0.00033123315825766414,1.48
"[0.57609222 0.82791574 0.41743962 0.81999613 0.16891721 0.57937335
 0.25893915 0.8728038  0.23765775 0.45685003 0.90807698 0.26368458
 0.05990734 0.19603717 0.4485647  0.48725324 0.16157969 0.14946907
 0.51925834 0.71321598 0.17973914 0.21065363]",0.03985220191196479,-0.00026253660033156295,1.48
"[0.58438636 0.82651373 0.42345633 0.81391877 0.1584641  0.5749818
 0.27172557 0.87395032 0.22320641 0.45917615 0.91261345 0.26533655
 0.06424276 0.20570662 0.4526281  0.48829073 0.17352503 0.13819212
 0.5243975  0.72180922 0.17786744 0.20129029]",0.03988131478009104,-0.0004434492341328679,-0.00437142113571256
